trade_id,direction,entry_time,exit_time,entry_price,signal_entry_price,initial_stop_price,final_stop_price_at_exit,target_price,entry_regime_score,target_rr,trail_style,risk_regime,risk_per_trade,notional,original_exit_reason,original_signal_exit_price,original_exit_price,gross_pnl,fees,slippage_cost,pnl,pnl_pct,rr_ratio,obi_start_timestamp_ms,obi_end_timestamp_ms,stop_update_count
191,BULL,2024-04-23 13:15,2024-04-24 14:15,66161.56425,66128.5,65267.825000000004,65267.825000000004,70630.26049999995,2,5.0,normal,bull_weak,0.025,4612.464505632026,stop_loss,65267.825000000004,65235.19108750001,-64.58225979748163,4.580173375733286,4.580158375207222,-69.16243317321491,-0.027750586655133053,-1.110023466205322,1713878100000,1713968100000,0
192,BEAR,2024-04-24 18:15,2024-04-30 00:45,64667.65,64700.0,65557.04625,64667.65,60665.36687500001,3,4.5,loose,bear_strong,0.02,3523.6889578520754,stop_loss,64667.65,64699.983824999996,-1.7618444789257242,3.524569880091538,3.524570320772606,-5.286414359017262,-0.0021816516971483626,-0.10908258485741812,1713982500000,1714437900000,1
193,BEAR,2024-04-30 16:15,2024-05-03 12:30,60245.862,60276.0,61602.3225,60245.862,54141.789749999996,4,4.5,loose,bear_strong,0.02,2147.718395881127,stop_loss,60245.862,60275.984931,-1.0738591979404943,2.148255325480098,2.148255594079092,-3.222114523420592,-0.0013326426308100828,-0.06663213154050412,1714493700000,1714739400000,1
194,BULL,2024-05-05 14:15,2024-05-06 10:45,63901.83495,63869.9,62948.385,63901.83495,67477.27226249997,2,5.0,normal,bull_weak,0.025,4045.7921049356332,stop_loss,63901.83495,63869.884032525,-2.0228960524677078,4.044780656909399,4.04478116238027,-6.067676709377107,-0.002512894802875109,-0.10051579211500437,1714918500000,1714992300000,1
195,BEAR,2024-05-08 04:45,2024-05-13 08:00,62506.3312,62537.6,63505.31625,62506.3312,58010.89847499999,3,4.5,loose,bear_strong,0.02,3014.049848257643,stop_loss,62506.3312,62537.5843656,-1.5070249241287825,3.014803360719707,3.014803737664276,-4.52182828484849,-0.0018774079428475715,-0.09387039714237858,1715143500000,1715587200000,1
196,BEAR,2024-05-14 08:30,2024-05-15 09:45,61793.987550000005,61824.9,62773.785,62773.785,57384.89902500001,3,4.5,loose,bear_strong,0.02,3032.349202619619,stop_loss,62773.785,62805.1718925,-49.62075043628269,3.0571595778377607,3.0571479369368886,-52.67791001412045,-0.021912364075273905,-1.0956182037636952,1715675400000,1715766300000,0
197,BULL,2024-05-15 22:00,2024-05-16 16:30,66032.3997,65999.4,65172.432499999995,65172.432499999995,70332.23569999999,2,5.0,normal,bull_weak,0.025,4513.695647599198,stop_loss,65172.432499999995,65139.84628375,-61.011177671578814,4.483190058763409,4.483175926762854,-65.49436773034222,-0.027853955919536027,-1.114158236781441,1715810400000,1715877000000,0
198,BULL,2024-05-16 19:15,2024-05-19 19:45,65560.764,65528.0,64656.85875000001,66012.71662499999,68950.40868749995,2,5.0,normal,bull_weak,0.025,4144.858309351562,stop_loss,66012.71662499999,65979.71026668749,26.486465512382633,4.158101542107753,4.158109203251223,22.32836397027488,0.009768060024934865,0.3907224009973946,1715886900000,1716147900000,2
199,BULL,2024-05-19 22:00,2024-05-21 00:15,66385.9764,66352.8,65298.4375,68017.28474999999,71823.6709,3,5.5,loose,bull_strong,0.06,8453.820263821892,target_rr,71823.6709,71787.75906455,687.8817218139857,8.797761124728884,8.797935294642112,679.0839606892567,0.29420717531029345,4.903452921838225,1716156000000,1716250500000,2
200,BULL,2024-05-21 03:15,2024-05-21 14:45,71342.6535,71307.0,70211.0525,70211.0525,77566.45899999997,4,5.5,loose,bull_strong,0.06,11300.071775878983,stop_loss,70211.0525,70175.94697375,-184.79642739965365,11.207673562179156,11.207630164980106,-196.00410096183282,-0.0656131883846096,-1.0935531397434934,1716261300000,1716302700000,0
